Período;Região;Nº Total Receitas Prescritas Eletrónicas (Qt);Nº Embalagens Prescritas por DCI (CNPEM) (Qt);Nº Embalagens Prescritas por Marca por Exceção A (Qt);Nº Embalagens Prescritas por Marca por Exceção B (Qt);Nº Embalagens Prescritas por Marca por Exceção C (Qt);Nº Embalagens Prescritas Sem Necessidade de Justificação Técnica (Qt)
2023-03;ARS Algarve;194838;730298;618;459;38713;192379
2023-04;ARS Centro;645614;2763580;3791;5459;140860;816731
2023-04;ARS Norte;1394857;5697024;6926;10436;170009;1543757
2023-05;ARS Algarve;189890;758427;700;620;37964;201674
2023-05;ARS Centro;781425;3475956;4864;6688;179632;1054293
2023-07;ARS Alentejo;160969;736602;713;957;29058;242557
2023-07;ARS Norte;1422421;5968409;7611;11223;192906;1583881
2023-08;ARS Centro;653863;2941513;3744;6670;132997;849617
2023-09;ARS Centro;691764;3240744;4367;6943;169789;956993
2023-09;ARS Norte;1494746;6537407;8543;11505;202266;1735010
2023-10;ARS Norte;1569196;6703870;8068;12039;201555;1793048
2023-11;ARS Norte;1606808;7281769;8413;12844;214775;1989364
2024-01;ARS Norte;1735033;8484209;8713;14683;231034;2221366
2024-02;ARS Centro;725414;3882003;3864;8369;183459;1136435
2024-04;ARS Lisboa e Vale do Tejo;1538855;8146176;14807;22651;278054;1838411
2024-05;ARS Alentejo;180703;939521;639;1337;31483;285433
2024-05;ARS Lisboa e Vale do Tejo;1562953;8275061;13236;24273;284376;1806751
2024-07;ARS Alentejo;169263;912067;676;1438;29337;287383
2024-07;ARS Algarve;189965;853001;701;641;34293;204634
2024-08;ARS Centro;622639;3142009;2088;6665;132508;852893
2024-09;ARS Norte;1461175;7094280;4631;12644;193630;1830691
2024-12;ARS Algarve;162494;735941;440;786;31613;161456
2024-12;ARS Centro;660488;3342531;1245;7878;149248;904031
2025-01;ARS Lisboa e Vale do Tejo;1600152;8941204;5576;20272;258591;1931164
2025-02;ARS Algarve;179650;881522;241;643;34743;203437
2025-02;ARS Lisboa e Vale do Tejo;1441505;8141669;4342;17733;236421;1663477
2025-03;ARS Algarve;180356;877885;265;840;34230;197795
2025-03;ARS Norte;1581823;7987340;2618;15424;207397;1902553
2025-05;ARS Lisboa e Vale do Tejo;1321733;7782733;4859;19383;225330;1537314
2025-07;ARS Algarve;192053;943318;333;804;35304;204439
2025-07;ARS Centro;712663;3977005;733;6658;165330;1041584
2025-07;ARS Lisboa e Vale do Tejo;1493271;8741567;4908;19009;244282;1763128
2025-09;ARS Centro;696378;3866712;605;7369;164400;1017318
2025-10;ARS Lisboa e Vale do Tejo;1598058;9247010;4548;19845;257996;1925066
2016-01;ARS Centro;1644589;2270739;4758;4905;254288;680483
2016-03;ARS Algarve;323569;439336;501;1223;40407;130261
2016-04;ARS Norte;2212856;3996206;9071;10703;297138;1271247
2016-08;ARS Alentejo;196073;527351;569;863;39398;166813
2016-08;ARS Norte;1529788;3586651;8220;9330;227250;1131320
2016-10;ARS Alentejo;203524;588681;754;900;42998;190406
2016-11;ARS Centro;823689;2386532;5956;3843;224940;740946
2016-12;ARS Norte;1479182;3646737;7793;11754;231858;1138251
2017-04;ARS Norte;1256753;3684004;7656;9216;226189;1169069
2017-05;ARS Algarve;162462;490316;548;1015;39764;146700
2017-05;ARS Norte;1475879;4481818;9842;9954;282445;1448686
2017-06;ARS Alentejo;171709;565384;566;746;40563;186028
2017-06;ARS Algarve;153260;458007;479;909;35889;137115
2017-06;ARS Norte;1337586;3890501;7948;9365;246802;1282263
2017-09;ARS Alentejo;175668;591456;645;1139;37736;197207
2017-09;ARS Algarve;150081;448445;713;739;35574;132413
2017-10;ARS Alentejo;186742;612447;661;926;38812;207411
2017-10;ARS Centro;758407;2514227;6780;4607;204030;780031
2017-10;ARS Norte;1557395;4773176;11125;10994;270809;1559134
2017-12;ARS Alentejo;163321;513784;638;930;31761;164394
2017-12;ARS Centro;640122;2037281;5508;4592;160752;609715
2018-01;ARS Lisboa e Vale do Tejo;1670077;6062311;15304;15885;274990;1382480
2018-03;ARS Centro;743052;2466505;5975;4733;198271;760794
2018-04;ARS Centro;692078;2299970;5344;4510;180238;706585
2018-05;ARS Centro;749765;2549327;6205;4996;200401;767939
